userid,nickname,gender,fans,follows,liked&collected
58fd96255e87e71f726905f1,林允Jelly,1,7806214,26,3527084
582d96f06a6a694cc47308c3,娱乐薯,0,5063531,1012,614604
574ebe0d82ec3959ea9521fc,美妆情报局,2,3139314,1282,4038654
56826634cb35fb7e671d6bfc,生活薯,2,3138090,1505,2379848
52d8c541b4c4d60e6c867480,薯队长,0,3049034,2174,3429452
5a94c39ce8ac2b1a31e83e10,张韶涵,1,2808961,11,1598323
58d0f56c6a6a696d5b2bde03,时髦小姐姐,1,2807473,580,1080005
56ba927750c4b478072c1e80,Ritatawang,2,2792857,94,1019432
57e73e7f5e87e734c2209530,凌听雨,1,2526319,365,1274133
587f16f55e87e7535ee15896,生活研究所,1,2309722,1011,1683320
59f824e211be1011aa2e3c2f,江疏影,1,2173691,1,387395
56efea6b4775a7043079b390,Irene林恩如,2,2071777,225,944009
5a747a7ce8ac2b215c98d8ef,欧阳娜娜Nana,1,1971504,12,845998
56e4327a1c07df26fc9bb08f,美七是我,1,1918841,148,688747
57f4954250c4b43670a73ca8,Pony朴惠敏,1,1832696,119,972913
5afc258d11be1066943eec6a,张雨绮,1,1800569,0,872269
557385d567bc65400f3a52fd,Sherman-closet,2,1784066,585,529293
57b4421450c4b416b711f415,陈白羊,1,1715571,126,676696
5abb15dd4eacab6fbea4d384,吴昕,1,1697262,19,682699
5a333bf24eacab21a336ede2,蔡文静,1,1690292,29,933274
5406935db4c4d61f895aded2,戚薇 7V,2,1668154,0,362283
53d39b5bb4c4d6733971ae73,大睿睿,2,1561558,86,313625
5703622f4775a71a25c9c811,的欢-gladys,2,1464146,389,799876
5329d789b4c4d61dde963ab8,Nikko大宁,2,1420223,89,1131114
56591271e4251d32e78af3af,Vier,2,1364405,346,809370
56bc14656a6a690d2cb64ba3,tuzCG,2,1350712,103,353631
589c8e8350c4b4566d3e7a90,ColaCat噗,2,1350247,177,253661
5840ee5782ec390b6afa573e,悠悠食记,1,1319582,135,2552813
561e0c65a75c9555e1d8d793,MAXINE时尚日记,2,1238229,250,401700
5a03abe44eacab0ed844319f,东瓜嘀嘀,1,1228441,177,481633
57830d9e50c4b47b688f7353,Chic小丸子,1,1203337,266,256274
597434fb50c4b44f279a9340,Halozeroo,2,1194573,135,407529
55263b88b203d93617b793e2,Joika的日系混搭,2,1157995,928,328965
5732bdf582ec390aff193608,hello我是沱沱,1,1151140,179,318099
5947d0da82ec393204d76f43,MK凉凉,2,1150941,10,442268
58b5b1a25e87e753bff6a237,杨柳依的美食厨房,1,1100938,256,1248572
56c51ff1aed7581d118f26de,是丸子啊,1,1069639,220,427958
58d7458150c4b42fc049562b,詹小猪Coco,2,1059184,278,713887
5908849f82ec3927b0393b4a,66姨太太,2,1014799,41,471607
5a65d744e8ac2b7c1aaf026c,阚清子,1,959764,10,292297
58fd6ca982ec397b71885d31,何穗,2,939099,6,217748
55d5ffe2b7ba221733dad30d,猪小角,2,933200,247,835890
56f5d3ea84edcd2633cbdb60,李奶奶的厨房,2,932469,244,460710
5ae2cfe54eacab66ef5ae712,景甜,1,927818,8,330055
556002df62a60c4205da4758,苑宝LY,1,926708,149,209253
586c8b8182ec39577ca0216a,阿玥的七月,1,920518,244,643082
5a028c1011be1014ba3439ec,石大小姐,1,912031,7,429177
566e5924cb35fb4d283c25af,是不是Danny,1,899297,126,188373
551261a0b4c4d633f9d375dc,M,2,886883,27,385879
5429b1a2e77989342738021e,韦思嘉,2,868293,218,371393
569b40666a6a696cbf80103e,我是寒寒,2,863270,93,761115
5962e4fb82ec396ab30d5c0d,郭霞G,1,862230,49,480282
55519d7cb203d93d4c2885ed,Cassie凯西西,1,859005,164,200631
5888146c50c4b4689bf36e73,果子bibibi,2,831374,120,189368
5269d3fbb4c4d60ea2717f96,深夜徐老师,1,817933,72,437442
578d9bd382ec3957626c5e6a,侃烃,2,817110,267,251533
5763e7ee6a6a691228d3dc72,曾鹿儿,1,801011,26,202449
58571c8c50c4b476cf1fd57b,梨丸儿,2,785843,162,248144
5981a20382ec39492c2fbb06,Valeska侯洛洛,2,774930,33,223636
597021ef5e87e72b5d604c80,包文婧,1,764377,25,527967
5718454584edcd6a56e85f26,Yoli_CHIC,2,764175,473,177660
572731ca82ec392d73de39ef,一匹野马,1,746084,289,374084
58de75bf82ec3904983b1a15,sssslin,2,741684,145,250118
5936431c82ec391d8bd24b66,榴莲甜甜圈,2,736764,208,397790
5a152ef8e8ac2b5c7a805197,吃货薯,0,716959,762,634471
54db10d8b4c4d65cb877027b,是我COCU,2,707155,86,311960
55b28d3a62a60c0cc33fbd7d,张雨甜甜,2,706296,47,419741
5a127d3c11be100f48ff8f6f,张歆艺,1,705792,13,228174
5965733950c4b47b76c7a18c,咸咸大人,2,693342,4,136681
5a5c588811be1064506d763b,jjjustin0219,0,686664,5,1152240
5658f77c0bf90c3037befd57,大桉树小柠檬,1,686363,89,123416
59f044164eacab5fd809fbe2,金晨,1,681704,1,279324
55b8116ee4b1cf45a1566fa0,蜜Y酱,1,667449,73,1133045
5ac0afbf4eacab35ebf496e4,沈梦辰,1,635683,5,323122
5a2e2abd11be10758e11e284,大S徐,2,632565,15,79706
585c1a8c82ec390fdb32e82d,王子文,1,619328,2,246305
591aed8850c4b44380eff08e,Makeup_memory,2,616705,53,158808
5a03e7044eacab5f2a7379c1,因为我是tyt,2,614354,121,285733
5866d3395e87e74a3363a2fc,我是阿大_,2,603419,24,179355
5753aa6050c4b434ce257342,梅有关西,1,601293,155,169234
5572670762a60c59bbc53028,抹茶味的夏天到了,1,592465,325,82088
58eb15ec6a6a6963d58f9925,财叔-NICK,2,583129,31,82554
54f08576a46e9665cbba350d,Cyvela,2,576681,62,376038
59102fdc5e87e75b250abcb2,我是YEAH老师,2,569515,63,1358534
55faecd167bc654bfa38bc4b,姜在赫,0,562280,8,895686
566ae9fb44760820a2503292,二沈婶,2,543603,260,271082
546777dcd6e4a9191da47f6f,Mandy曼迪不怕,2,542302,72,92147
5aad8e8711be10160fdf5de1,张俪,1,540872,3,312556
58aed46350c4b43f3479eb60,VKKKKK大魔王,2,535963,200,232357
54eb2564d39ea23226501f93,Tingting,2,533417,98,235926
59a5ef4d50c4b452e56872d4,ciciwestwood,1,529513,70,181099
557952ecc2bdeb35fa9ae5a0,瓜仔今天早睡了吗,2,517176,249,115243
