userid,nickname,gender,fans,follows,liked&collected
5658e60f9eb578653fe29b39,Dream-Xu-,2,455,12,4251
5af68257e8ac2b5e230622eb,黄圣依,1,101646,0,24936
5a59c9de4eacab5444e095a3,胡冰卿,1,153783,9,67195
559b9b6a62a60c20808dd7de,KRISTA_WIN,1,21912,148,6757
55deb46262a60c128766d763,很酷的Chiara,2,2471,40,33775
5b0ccca711be107c158c0aeb,麦萌的小俊介,0,3250,449,17047
5766371a5e87e711e1f1f1c3,Yami妈咪,2,99,1,776
5ab05cab11be107d2973d165,Zeno,0,1908,7,60178
59f8c1e04eacab28fc4d3bdf,Tessieliiuuu,1,4052,65,56424
586aa09c82ec3933772c4a9a,S.L,2,5798,17,45736
56603ade0bf90c6b558b0021,水彩唐渣渣,1,871,6,2811
5ae2013f11be107a28944ac1,蕙子呀蕙子,1,93752,10,362921
5837a27e7fc5b863e69092b7,马丁辣,2,279,27,1616
5912a2d882ec3949a3d2e8f5,何歪歪yy,1,4440,18,44552
5936431c82ec391d8bd24b66,榴莲甜甜圈,2,736764,208,397790
5b2a63ae4eacab7f40be5ee5,娜娜老师,1,23547,17,122635
5b18ee46f7e8b9423eac6e6e,若止,2,33,0,1429
5b133e1ef7e8b92902f18d45,骏骏佳骏,1,1777,0,56578
56e81e5c1c07df744ebd90eb,iam肥肥羊,2,107086,443,1445775
5a62aa0611be1066afbb30ae,逆时针,0,6313,26,65294
5aa680eae8ac2b640dbfd51a,可爱症晚期患者,1,3731,27,62529
5aaf4d05e8ac2b06195d3ef3,启豪Kaiho,0,131103,24,36900
5aeb0bfb4eacab276f62bcf9,阿末的美食日记,1,55525,63,489226
56d40de94775a70c6fe5ca3b,灵儿瑶,2,7815,24,19317
553fa9b4af81472d49d085b4,米璐miumiu,2,23182,238,52567
57c5a4d082ec391d857d557e,美环花花子,2,4427,62,59558
574508305e87e74f7e891eb5,bo妞bo妞,2,1686,50,4890
5a6dbb114eacab40e441163f,盖世英雄啦,1,20,6,112
54e57b74b4c4d67aaf3160e2,dora ji,1,332,57,8603
5a65d744e8ac2b7c1aaf026c,阚清子,1,959797,10,292301
55baca2cc2bdeb7900512a1c,是TamTam也是胡肉团,2,314,38,4837
56a5053f50c4b419a2022963,一片走心情的五花肉,2,548,72,6845
593f05045e87e72100d6086e,灿妮妮妮妮,2,4322,31,71954
